id,type,events,start_date,end_date,translated_text
1,组织工作,"18日——22日 中国共产党第十一届三中全会在北京举行。出席会议的中央委员169人、候补中央委员112人。中共中央主席华国锋、副主席叶剑英、邓小平、李先念、陈云、汪东兴出席了会议。全会着重指出,毛泽东同志在长期革命斗争中立下的伟大功勋是不可磨灭的。全会高度评价了关于实践是检验真理的唯一标准问题的讨论,批判了“两个凡是”的错误方针,肯定了必须完整地、准确地掌握毛泽东思想的科学体系的提法,确定了解放思想,开动脑筋、实事求是、团结一致向前看的指导方针。同时,决定停止使用“以阶级斗争为纲”的口号,要求全党全面地、认真地纠正“文化大革命”中和以前的“左”倾错误。全会还作出了从 1979 年起,把全党工作重点转移到社会主义现代化建设上来的战略决策。全会提出了全党要注意解决好国民经济重大比例严重失调的要求,原则上通过了关于加快农业发展的两个文件。全会审查和解决了党的历史上一批重大冤假错案和一些重要领导人的功过是非问题,纠正了过去对彭德怀、陶铸、薄一波、杨尚昆等同志所作的错误结论,肯定了他们对党对人民的贡献。会议着重提出了健全党规党法和民主集中制,加强社会主义民主与法制的任务。",1978-12-18,1978-12-22,"From the 18th to the 22nd, the Third Plenary Session of the 11th Central Committee of the Communist Party of China was held in Beijing. 169 members of the Central Committee and 112 alternate members attended the meeting. Chairman Hua Guofeng, Vice Chairman Ye Jianying, Deng Xiaoping, Li Xiannian, Chen Yun, and Wang Dongxing of the Central Committee of the Communist Party of China attended the meeting. The Plenary Session emphasized that the great contributions made by Comrade Mao Zedong in the long-term revolutionary struggle are indelible. The Plenary Session highly praised the discussion on the issue of practice as the only criterion for testing truth, criticized the erroneous policy of ""two whatevers"", affirmed the need to fully and accurately grasp the scientific system of Mao Zedong Thought, and determined the guiding principle of emancipating the mind, using brains, seeking truth from facts, and uniting as one to look forward. At the same time, it was decided to stop using the slogan of ""taking class struggle as the key link"" and required the whole party to comprehensively and seriously correct the ""left"" errors during and before the ""Cultural Revolution"". The Plenary Session also made a strategic decision to shift the focus of the work of the whole party to socialist modernization from 1979. The plenary session put forward the requirement that the whole party should pay attention to solving the serious imbalance of major proportions in the national economy, and in principle passed two documents on accelerating agricultural development. The plenary session reviewed and resolved a number of major unjust, false and wrong cases in the party's history and the merits and demerits of some important leaders, corrected the wrong conclusions made in the past about comrades such as Peng Dehuai, Tao Zhu, Bo Yibo and Yang Shangkun, and affirmed their contributions to the party and the people. The meeting emphasized the task of improving party rules and laws and democratic centralism, and strengthening socialist democracy and the legal system. The plenary session elected Chen Yun as vice chairman of the Party Central Committee, and Deng Yingchao, Hu Yaobang and Wang Zhen as members of the Central Political Bureau. The plenary session added Huang Kecheng, Song Renwu, Hu Qiaomu, Xi Zhongxun, Wang Renzhong, Huang Huoqing, Chen Zaidao, Han Guang and Zhou Hui as members of the Central Committee, and proposed that the 12th National Congress of the Communist Party of China be ratified. The plenary session elected the Central Commission for Discipline Inspection, and elected Chen Yun as the first secretary, Deng Yingchao as the second secretary, Hu Yaobang as the third secretary, and Huang Kecheng as the executive secretary."
1_appt,干部任免,"全会增选陈云为党中央副主席,邓颖超、胡耀邦、王震为中央政治局委员。全会增补黄克诚、宋任务、胡乔木、习仲勋、王任重、黄火青、陈再道、韩光、周惠为中央委员,提请中国共产党第十二次全国代表大会予以追认。全会选举产生了中央纪律检查委员会,并选举陈云为第一书记,邓颖超为第二书记,胡耀邦为第三书记,黄克诚为常务书记。",1978-12-18,1978-12-22,"From the 18th to the 22nd, the Third Plenary Session of the 11th Central Committee of the Communist Party of China was held in Beijing. 169 members of the Central Committee and 112 alternate members attended the meeting. Chairman Hua Guofeng, Vice Chairman Ye Jianying, Deng Xiaoping, Li Xiannian, Chen Yun, and Wang Dongxing of the Central Committee of the Communist Party of China attended the meeting. The Plenary Session emphasized that the great contributions made by Comrade Mao Zedong in the long-term revolutionary struggle are indelible. The Plenary Session highly praised the discussion on the issue of practice as the only criterion for testing truth, criticized the erroneous policy of ""two whatevers"", affirmed the need to fully and accurately grasp the scientific system of Mao Zedong Thought, and determined the guiding principle of emancipating the mind, using brains, seeking truth from facts, and uniting as one to look forward. At the same time, it was decided to stop using the slogan of ""taking class struggle as the key link"" and required the whole party to comprehensively and seriously correct the ""left"" errors during and before the ""Cultural Revolution"". The Plenary Session also made a strategic decision to shift the focus of the work of the whole party to socialist modernization from 1979. The plenary session put forward the requirement that the whole party should pay attention to solving the serious imbalance of major proportions in the national economy, and in principle passed two documents on accelerating agricultural development. The plenary session reviewed and resolved a number of major unjust, false and wrong cases in the party's history and the merits and demerits of some important leaders, corrected the wrong conclusions made in the past about comrades such as Peng Dehuai, Tao Zhu, Bo Yibo and Yang Shangkun, and affirmed their contributions to the party and the people. The meeting emphasized the task of improving party rules and laws and democratic centralism, and strengthening socialist democracy and the legal system. The plenary session elected Chen Yun as vice chairman of the Party Central Committee, and Deng Yingchao, Hu Yaobang and Wang Zhen as members of the Central Political Bureau. The plenary session added Huang Kecheng, Song Renwu, Hu Qiaomu, Xi Zhongxun, Wang Renzhong, Huang Huoqing, Chen Zaidao, Han Guang and Zhou Hui as members of the Central Committee, and proposed that the 12th National Congress of the Communist Party of China be ratified. The plenary session elected the Central Commission for Discipline Inspection, and elected Chen Yun as the first secretary, Deng Yingchao as the second secretary, Hu Yaobang as the third secretary, and Huang Kecheng as the executive secretary."
2737,人事工作,"1978年12月18日至22日,中国共产党第十一届中央委员会第三次全体会议在北京举行。会议作出了把工作重点转移到社会主义建设上来的战略决策,提出要对权力过分集中的体制进行认真的改革。会议公报指出,要认真解决党政企不分、以党代政､以政代企的现象,实行分级分工分人负责,加强管理机构和管理人员的权限和责任,减少会议公文,提高工作效率,认真实行考核、奖惩､升降等制度。",1978-12-18,1978-12-18,"From December 18 to 22, 1978, the Third Plenary Session of the 11th Central Committee of the Communist Party of China was held in Beijing. The meeting made a strategic decision to shift the focus of work to socialist construction and proposed to seriously reform the system of excessive concentration of power. The communiqué of the meeting pointed out that it is necessary to seriously solve the phenomenon of no distinction between the party, government and enterprise, the party replacing the government, and the government replacing the enterprise, implement hierarchical division of labor and individual responsibility, strengthen the authority and responsibility of management agencies and management personnel, reduce meeting documents, improve work efficiency, and earnestly implement the system of assessment, rewards and punishments, promotion and demotion."
2,组织工作,"24日 中国共产党久经考验的忠诚的革命战士、老一辈无
产阶级革命家、党和国家的卓越领导人彭德怀、陶铸同志追悼大
会在北京隆重举行。中共中央副主席叶剑英主持追悼大会,中共
中央副主席邓小平、陈云分别致悼词。",1978-12-24,1978-12-24,"On the 24th, a memorial meeting for Comrades Peng Dehuai and Tao Zhu, two long-tested and loyal revolutionary fighters of the Communist Party of China, proletarian revolutionaries of the older generation, and outstanding leaders of the Party and the country, was held in Beijing. Vice Chairman of the Central Committee of the Communist Party of China Ye Jianying presided over the memorial meeting, and Vice Chairman of the Central Committee of the Communist Party of China Deng Xiaoping and Chen Yun delivered eulogies respectively."
3,干部任免,"25日 中共中央决定,胡耀邦任中共中央秘书长兼中央宣
传部部长,胡乔木任中共中央副秘书长兼毛主席著作编委会办公
室主任,姚依林任中共中央副秘书长兼中央办公厅主任,冯文彬
任中央办公厅第一副主任。汪东兴不再兼任毛主席著作编委会办
公室主任和中央办公厅主任。
中共中央还决定,宋任穷任中共中央组织部部长。",1978-12-25,1978-12-25,"On the 25th, the CPC Central Committee decided that Hu Yaobang would serve as Secretary General of the CPC Central Committee and Minister of the Central Propaganda Department, Hu Qiaomu would serve as Deputy Secretary General of the CPC Central Committee and Director of the Office of the Editorial Committee of Chairman Mao's Works, Yao Yilin would serve as Deputy Secretary General of the CPC Central Committee and Director of the General Office of the CPC Central Committee, and Feng Wenbin would serve as First Deputy Director of the General Office of the CPC Central Committee. Wang Dongxing would no longer serve as Director of the Office of the Editorial Committee of Chairman Mao's Works and Director of the General Office of the CPC Central Committee. The CPC Central Committee also decided that Song Renqiong would serve as Minister of the Organization Department of the CPC Central Committee."
4,组织工作,26日 第五届全国人大常委会第五次会议在北京举行。,1978-12-26,1978-12-26,"On the 26th, the fifth session of the Fifth National People's Congress Standing Committee was held in Beijing. The meeting decided to appoint Wang Renzhong as Vice Premier of the State Council; to appoint Guo Weicheng as Minister of Railways and to remove Duan Junyi from the post of Minister of Railways; to appoint Wang Zigang as Minister of Posts and Telecommunications and to remove Zhong Fuxiang from the post of Minister of Posts and Telecommunications."
4_appt,干部任免,"会议决定,任命王任重为国务院副总理;任命郭维城为铁道部部长,免去段君毅的铁道部部长职务;任命王子纲为邮电部部长,免去钟夫翔的邮电部部长职务。",1978-12-26,1978-12-26,"On the 26th, the fifth session of the Fifth National People's Congress Standing Committee was held in Beijing. The meeting decided to appoint Wang Renzhong as Vice Premier of the State Council; to appoint Guo Weicheng as Minister of Railways and to remove Duan Junyi from the post of Minister of Railways; to appoint Wang Zigang as Minister of Posts and Telecommunications and to remove Zhong Fuxiang from the post of Minister of Posts and Telecommunications."
5,组织工作,"29日 中共中央组织部发出《关于加强老干部工作的几点
意见》。《意见》指出,老干部工作是党的干部工作的重要组成部
分。贯彻落实党中央重视和关心老干部的政策,加强老干部工
作,充分发挥老干部的积极作用,对于巩固和发展安定团结的政
治局面,恢复和发扬党的优良传统和作风,加快实现四个现代化
的步伐,都具有重大意义。要求各级党组织积极认真地把这项工
作抓紧抓好。",1978-12-29,1978-12-29,"On the 29th, the Organization Department of the Central Committee of the Communist Party of China issued ""Several Opinions on Strengthening the Work of Veteran Cadres"". The ""Opinions"" pointed out that the work of veteran cadres is an important part of the party's cadre work. Implementing the Party Central Committee's policy of paying attention to and caring about veteran cadres, strengthening the work of veteran cadres, and giving full play to the positive role of veteran cadres are of great significance to consolidating and developing a stable and united political situation, restoring and carrying forward the party's fine traditions and style, and accelerating the pace of realizing the four modernizations. Party organizations at all levels are required to actively and conscientiously grasp this work."
6,组织工作,"31日 据中共中央组织部统计,截至1978年底,全国有干
部1740万人;全国有共产党员3698万人;党的基层委员会9.5
万个,总支部7.6万个,基层支部194万个。",1978-12-31,1978-12-31,"According to statistics from the Organization Department of the Central Committee of the Communist Party of China, by the end of 1978, there were 17.4 million cadres and 36.98 million Communist Party members in the country; there were 95,000 grassroots party committees, 76,000 general branches, and 1.94 million grassroots branches."
7,组织工作,"1日 《人民日报》发表题为《把主要精力集中到生产建设
上来》的社论,指出:把全党工作的重点转移到社会主义现代
化建设上来,是一个伟大的战略转变。全体干部、全体党员和全
国人民都要动员起来,跟上客观形势的发展,在思想上来一个大
解放。各级党、政、群、团的工作,都要服从社会主义现代化建
设这个中心,而不能离开这个中心。",1979-01-01,1979-01-01,"On the 1st, the People's Daily published an editorial entitled ""Focus on Production and Construction"", pointing out that shifting the focus of the whole party's work to socialist modernization is a great strategic shift. All cadres, all party members and the people of the country must be mobilized to keep up with the development of the objective situation and have a great ideological liberation. The work of the party, government, mass organizations and leagues at all levels must obey the center of socialist modernization and cannot leave this center."
